ID_Cabang,nama_cabang,alamat_cabang
03001,Flora,Bogor
03002,Farah,Jakarta
03003,Rodney,Bandung
03004,Ruthe,Jakarta
03005,Eboni,Jakarta
03006,Terresa,Bandung
03007,Art,Medan
03008,Raylene,Medan
03009,Justa,Bandung
03010,Juana,Bogor
03011,Creola,Jakarta
03012,Dorine,Bandung
03013,Danae,Medan
03014,Chan,Bandung
03015,Loretta,Jakarta
03016,Jacquetta,Medan
03017,Clemencia,Bogor
03018,Lean,Bandung
03019,Delia,Medan
03020,Laraine,Bandung
03021,Joann,Bogor
03022,Eryn,Bogor
03023,Jamar,Bogor
03024,Serena,Bandung
03025,Robbin,Bogor
03026,Deja,Medan
03027,Trudi,Bandung
03028,Carlie,Jakarta
03029,Lang,Medan
03030,Meri,Bandung
03031,Kathey,Bogor
03032,Mitch,Medan
03033,Angle,Medan
03034,Cherish,Medan
03035,Marisela,Bogor
03036,Isabel,Medan
03037,Willetta,Medan
03038,Krystin,Bandung
03039,Allan,Bandung
03040,Ardell,Jakarta
03041,Raymon,Medan
03042,Breann,Bandung
03043,Yang,Medan
03044,Janee,Bogor
03045,Lanell,Medan
03046,Dominque,Bogor
03047,Reagan,Medan
03048,Velvet,Medan
03049,Raelene,Bandung
03050,Isobel,Medan
03051,Macy,Bandung
03052,Greg,Bandung
03053,Daisy,Jakarta
03054,Carolynn,Bogor
03055,Johanna,Bogor
03056,Clarice,Medan
03057,Camellia,Bogor
03058,Bruna,Bogor
03059,Cody,Bandung
03060,Verlene,Bogor
03061,Callie,Bogor
03062,Synthia,Medan
03063,Cyndi,Jakarta
03064,Roselle,Bogor
03065,Eveline,Jakarta
03066,Luella,Medan
03067,Tarra,Bandung
03068,Fred,Bandung
03069,Abbie,Jakarta
03070,Hershel,Bandung
03071,Misti,Jakarta
03072,Hettie,Medan
03073,Marcelina,Bogor
03074,Trent,Bogor
03075,Vi,Bandung
03076,Felica,Bogor
03077,Luanne,Medan
03078,Faviola,Bandung
03079,Grady,Medan
03080,April,Jakarta
03081,Chung,Medan
03082,Alfonso,Medan
03083,Xavier,Bandung
03084,Phuong,Jakarta
03085,Darla,Bogor
03086,Coletta,Bogor
03087,Roxanne,Jakarta
03088,Shella,Bogor
03089,Claude,Medan
03090,Sheri,Bogor
03091,Charley,Medan
03092,Kamala,Bandung
03093,Chere,Bandung
03094,Tonda,Bogor
03095,Nakita,Bandung
03096,Vernell,Medan
03097,Antonette,Bogor
03098,Edmund,Bandung
03099,Ashley,Bandung
03100,Marcelle,Medan
