ID_Paket,ID_Pengirim,ID_Penerima,ID_Layanan,ID_Admin,hari_kirim,tanggal_kirim,waktu_kirim,jenis_paket,berat_paket,harga_paket,biaya
20001,01069,02010,0401,11001,Wed,1-Jan-2020,1022,Dokumen,0.8,6000,8000
20002,01043,02046,0401,11002,Thu,2-Jan-2020,1457,Dokumen,0.3,6000,15000
20003,01052,02085,0401,11003,Fri,3-Jan-2020,0844,Dokumen,0.1,6000,15000
20004,01034,02004,0402,11004,Sat,4-Jan-2020,0816,Dokumen,0.8,6000,8000
20005,01018,02012,0402,11005,Sun,5-Jan-2020,0927,Dokumen,0.5,6000,16000
20006,01004,02073,0403,11006,Mon,6-Jan-2020,1445,Dokumen,0.3,6000,45000
20007,01020,02035,0402,11007,Tue,7-Jan-2020,1312,Dokumen,0.4,6000,8000
20008,01088,02043,0401,11008,Wed,8-Jan-2020,1505,Dokumen,0.7,6000,6000
20009,01044,02075,0402,11009,Thu,9-Jan-2020,0903,Dokumen,0.2,6000,30000
20010,01061,02032,0402,11010,Fri,10-Jan-2020,1337,Dokumen,0.7,6000,16000
20011,01054,02029,0403,11011,Sat,11-Jan-2020,0950,Dokumen,0.6,6000,45000
20012,01067,02056,0401,11012,Sun,12-Jan-2020,1142,Dokumen,0.9,6000,15000
20013,01021,02010,0403,11013,Mon,13-Jan-2020,1226,Dokumen,0.5,6000,12000
20014,01020,02014,0401,11014,Tue,14-Jan-2020,1417,Dokumen,0.6,6000,6000
20015,01074,02067,0401,11015,Wed,15-Jan-2020,1628,Dokumen,0.5,6000,6000
20016,01052,02052,0401,11016,Thu,16-Jan-2020,1056,Dokumen,0.5,6000,8000
20017,01037,02045,0402,11017,Fri,17-Jan-2020,1023,Dokumen,0.3,6000,30000
20018,01066,02095,0403,11018,Sat,18-Jan-2020,0915,Dokumen,0.6,6000,18000
20019,01065,02060,0403,11019,Sun,19-Jan-2020,1620,Dokumen,0.3,6000,18000
20020,01010,02057,0403,11020,Mon,20-Jan-2020,1247,Dokumen,0.7,6000,12000
20021,01043,02048,0401,11021,Tue,21-Jan-2020,1548,Dokumen,0.5,6000,6000
20022,01089,02063,0403,11022,Wed,22-Jan-2020,1525,Dokumen,0.5,6000,45000
20023,01029,02096,0402,11023,Thu,23-Jan-2020,1359,Dokumen,0.8,6000,8000
20024,01089,02038,0403,11024,Fri,24-Jan-2020,1054,Dokumen,0.3,6000,45000
20025,01076,02068,0402,11025,Sat,25-Jan-2020,0730,Dokumen,0.5,6000,8000
20026,01027,02058,0401,11026,Sun,26-Jan-2020,0821,Dokumen,0.6,6000,4000
20027,01098,02080,0401,11027,Mon,27-Jan-2020,0853,Dokumen,0.3,6000,4000
20028,01084,02021,0403,11028,Tue,28-Jan-2020,1307,Dokumen,0.4,6000,45000
20029,01004,02060,0401,11029,Wed,29-Jan-2020,1155,Dokumen,0.3,6000,15000
20030,01031,02043,0401,11030,Thu,30-Jan-2020,1524,Dokumen,0.1,6000,6000
20031,01007,02098,0402,11031,Fri,31-Jan-2020,1339,Dokumen,0.8,6000,8000
20032,01004,02095,0401,11032,Sat,1-Feb-2020,1002,Dokumen,0.3,6000,15000
20033,01068,02068,0401,11033,Sun,2-Feb-2020,0909,Dokumen,0.5,6000,15000
20034,01012,02006,0402,11034,Mon,3-Feb-2020,1208,Dokumen,0.2,6000,16000
20035,01028,02005,0401,11035,Tue,4-Feb-2020,0949,Dokumen,0.1,6000,4000
20036,01012,02093,0403,11036,Wed,5-Feb-2020,1518,Dokumen,0.9,6000,12000
